split,contrast,model_a,model_b,tier,learner_matched,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero,note
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e50_smoothnet,-0.00014489123359327,-0.0006794104115346328,0.0011393422912985831,-0.0010889506383458703,0.0007991681711593303,0.00048093984354808083,0.1831012865551239,796.4589669028185,30,False,"same random survival forest learner, logrank versus logrankCR splitting"
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e90_smoothfg,0.023295599914127607,0.020853457946531095,0.025858549223425766,0.020747902250552022,0.025843297577703192,0.0012965656444433604,0.2425441143289269,476.1658140861173,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e90_smoothcsh,0.022951006498785672,0.020537686959479693,0.025456832846027462,0.020437610386230647,0.025464402611340697,0.0012790292392106976,0.24571794269229105,464.78955040339923,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
temporal,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e90_smoothnet,0.023174811146986437,0.01564009462362422,0.025147389399162265,0.01830890679791904,0.028040715496053834,0.0024817963517481598,0.07052361293814084,3520.560273550839,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
temporal,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,ici_smoothfg,0.011235466637015752,0.010037247667981255,0.011924895175198943,0.010325133307961122,0.012145799966070382,0.00046429740142008534,0.07310333712792913,3368.021551261796,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
temporal,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,ici_smoothcsh,0.011231431648667996,0.010269789388446951,0.01194660260048501,0.010370257948223363,0.012092605349112629,0.00043920209411932586,0.08099957216089383,2949.308268810323,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
temporal,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,ici_smoothnet,0.011156911584462657,0.008216488579239657,0.011760776871194398,0.009413311807832036,0.012900511361093278,0.000889475851949341,0.019965314573048565,8143.754374239173,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
temporal,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e50_smoothfg,-0.0007771838362214135,-0.001155571651405075,0.0005642831355626123,-0.0016181309122220231,6.376323977919617e-05,0.0004289522273422569,0.05402482239507477,4708.786967552961,30,False,"same IPCW binomial learner, competing death as censoring versus as an event"
temporal,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e50_smoothcsh,-0.0004071548640851667,-0.0010875731585666649,0.0007010208148507701,-0.0012312085945598381,0.00041689886638950475,0.0004203383224256252,0.05239698943636706,4847.467353382753,30,False,"same IPCW binomial learner, competing death as censoring versus as an event"
temporal,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e50_smoothnet,-0.00019241761955493333,-0.0012499614858122177,0.0010840807344066545,-0.001269167829741878,0.0008843325906320113,0.0005492705890311494,0.03523750888459219,6528.1001738289515,30,False,"same IPCW binomial learner, competing death as censoring versus as an event"
temporal,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e90_smoothfg,0.04049647381817923,0.037618755665087496,0.043323025916602226,0.037586186252881584,0.04340676138347688,0.0014828312418051176,0.17288845644377995,882.4294735039286,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
temporal,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e90_smoothcsh,0.04033979146670714,0.0374814656493671,0.043141959168094865,0.03745743925381408,0.04322214367960019,0.0014687274999296963,0.16651952449578644,943.0716309596147,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
