task,n,mean_risk10,secs
logistic__cvr1f0__imp8.parquet,8232,0.06073773889526877,0.4430685043334961
logistic_cr__cvr0f4__imp8.parquet,8229,0.04526916610543565,0.3900630474090576
logistic_cr__cvr0f2__imp8.parquet,8230,0.043742319607087,0.410815954208374
logistic_cr__cvr1f4__imp8.parquet,8229,0.04374381524501264,0.37604260444641113
logistic__cvr1f4__imp8.parquet,8229,0.05854222895821516,0.43564653396606445
logistic__cvr0f2__imp8.parquet,8230,0.05883392025567177,0.46976780891418457
logistic__cvr2f3__imp8.parquet,8230,0.060074950607211644,0.44194555282592773
logistic__cvr2f0__imp8.parquet,8232,0.061958779704365065,0.4632840156555176
logistic__temporal__imp9.parquet,9329,0.053602123268633756,0.3556325435638428
logistic__cvr0f1__imp9.parquet,8230,0.06270040264121075,0.3677098751068115
logistic_cr__cvr2f1__imp8.parquet,8230,0.0452402280566205,0.42700767517089844
logistic_cr__cvr1f2__imp8.parquet,8230,0.04545342345923307,0.4393653869628906
logistic_cr__cvr1f1__imp8.parquet,8230,0.046247402599551006,0.4443471431732178
logistic_cr__cvr2f2__imp8.parquet,8230,0.04556695481667495,0.4123702049255371
logistic_cr__cvr2f3__imp8.parquet,8230,0.04523080910403775,0.41272878646850586
logistic_cr__cvr0f0__imp8.parquet,8232,0.04612084793759694,0.4841604232788086
logistic_cr__cvr1f3__imp8.parquet,8230,0.04654606117777101,0.4519944190979004
logistic_cr__cvr1f0__imp8.parquet,8232,0.04576065326217944,0.4682471752166748
logistic__cvr2f1__imp8.parquet,8230,0.05983687430962813,0.5169062614440918
logistic_cr__cvr0f1__imp8.parquet,8230,0.04735755193026853,0.5063395500183105
logistic_cr__cvr2f0__imp8.parquet,8232,0.046168574041689114,0.4706578254699707
logistic__cvr0f2__imp9.parquet,8230,0.05893388762066449,0.3847639560699463
logistic__cvr0f4__imp9.parquet,8229,0.05989930472949939,0.3657503128051758
logistic_cr__temporal__imp9.parquet,9329,0.042392704312337916,0.20886898040771484
logistic__cvr0f3__imp9.parquet,8230,0.06021424858930794,0.4620842933654785
logistic__cvr1f1__imp9.parquet,8230,0.06218021174502767,0.35964441299438477
logistic_cr__cvr2f4__imp8.parquet,8229,0.04561475810674435,0.5616669654846191
logistic__cvr0f0__imp9.parquet,8232,0.06170058776493052,0.5342545509338379
logistic__cvr1f2__imp9.parquet,8230,0.06072370183650852,0.34258103370666504
logistic__cvr1f0__imp9.parquet,8232,0.06042417290001472,0.4457213878631592
logistic__cvr1f3__imp9.parquet,8230,0.06174788639062839,0.34010910987854004
logistic__cvr2f2__imp9.parquet,8230,0.06049688347531715,0.3393735885620117
logistic__cvr2f1__imp9.parquet,8230,0.059991624779168806,0.351820707321167
logistic_cr__cvr0f0__imp9.parquet,8232,0.046171208684996065,0.3614027500152588
logistic_cr__cvr0f2__imp9.parquet,8230,0.04389143327438137,0.35373568534851074
logistic__cvr2f4__imp9.parquet,8229,0.061383495983185446,0.3679189682006836
logistic__cvr2f3__imp9.parquet,8230,0.060041188048487,0.37470221519470215
logistic_cr__cvr0f3__imp9.parquet,8230,0.045158719585426194,0.35803818702697754
logistic_cr__cvr0f1__imp9.parquet,8230,0.04729007011016026,0.384779691696167
logistic__cvr2f0__imp9.parquet,8232,0.06188069027105734,0.40198254585266113
logistic__cvr1f4__imp9.parquet,8229,0.058365964595408305,0.4112050533294678
logistic_cr__cvr2f2__imp9.parquet,8230,0.04538980321012433,0.3336913585662842
logistic_cr__cvr0f4__imp9.parquet,8229,0.04512060322402953,0.394458532333374
logistic_cr__cvr1f0__imp9.parquet,8232,0.045593509180974434,0.39385271072387695
logistic_cr__cvr1f1__imp9.parquet,8230,0.04648171035275594,0.3940882682800293
logistic_cr__cvr1f4__imp9.parquet,8229,0.04366760320066702,0.3778681755065918
logistic_cr__cvr1f2__imp9.parquet,8230,0.04545260183029866,0.399127721786499
logistic_cr__cvr2f1__imp9.parquet,8230,0.04537079538019386,0.36673927307128906
logistic_cr__cvr1f3__imp9.parquet,8230,0.046343395162786016,0.40156078338623047
logistic_cr__cvr2f0__imp9.parquet,8232,0.0461699239104356,0.3901998996734619
logistic_cr__cvr2f3__imp9.parquet,8230,0.045262596868136225,0.383756160736084
logistic_cr__cvr2f4__imp9.parquet,8229,0.045551368179325875,0.3796820640563965
logistic__temporal__imp10.parquet,9329,0.05313181634592656,0.2299184799194336
gbs_naive__temporal__imp8.parquet,9329,0.05041782026105615,1.1527695655822754
logistic_cr__temporal__imp10.parquet,9329,0.04202425031890891,0.24069738388061523
logistic__cvr0f0__imp10.parquet,8232,0.06172161314580364,0.3743746280670166
logistic__cvr0f1__imp10.parquet,8230,0.06288366189912382,0.3396775722503662
logistic__cvr1f1__imp10.parquet,8230,0.06221526229940958,0.34573793411254883
logistic_cr__cvr0f3__imp10.parquet,8230,0.04521829322889338,0.274066686630249
logistic__cvr0f2__imp10.parquet,8230,0.05855960424596799,0.3854389190673828
logistic__cvr0f3__imp10.parquet,8230,0.060226746280238413,0.37331247329711914
logistic__cvr1f3__imp10.parquet,8230,0.06167951447817814,0.35118889808654785
logistic__cvr1f2__imp10.parquet,8230,0.060826638579840775,0.3691985607147217
