"task","n","mean_risk10","secs"
"rsf_cr__cvr0f4__imp7",8229,0.0369907351099281,202.148002147675
"rsf_cr__cvr1f0__imp7",8232,0.0363526102747149,203.272028684616
"rsf_cr__cvr1f1__imp7",8230,0.0369923059011682,195.981827735901
"rsf_cr__cvr1f2__imp7",8230,0.0373251608694713,197.814125061035
"rsf_cr__cvr1f3__imp7",8230,0.0372300810116871,196.892599105835
"rsf_cr__cvr1f4__imp7",8229,0.0361505068456521,201.343942642212
"rsf_cr__cvr2f0__imp7",8232,0.0378058456152804,194.649886131287
"rsf_cr__cvr2f1__imp7",8230,0.0372234064276573,200.726395368576
"rsf_cr__cvr2f2__imp7",8230,0.0376192657226773,199.052548408508
"rsf_cr__cvr2f3__imp7",8230,0.035770165590952,198.471288204193
"rsf_cr__cvr2f4__imp7",8229,0.0368098654144574,201.642263650894
"rsf_naive__temporal__imp8",9329,0.0490751498771709,45.6896324157715
"rsf_cr__temporal__imp8",9329,0.0427013660493044,93.7025418281555
"rsf_naive__cvr0f0__imp8",8232,0.0434449862045172,104.077276945114
"rsf_naive__cvr0f1__imp8",8230,0.042948394972908,103.610860347748
"rsf_naive__cvr0f2__imp8",8230,0.0414037224514272,105.234078884125
"rsf_naive__cvr0f3__imp8",8230,0.042273263105127,105.538416624069
"rsf_naive__cvr0f4__imp8",8229,0.0427837525644642,107.090245723724
"rsf_naive__cvr1f0__imp8",8232,0.0420831888656802,107.165150403976
"rsf_naive__cvr1f1__imp8",8230,0.0423898422057602,103.268445730209
"rsf_naive__cvr1f2__imp8",8230,0.043591380784392,105.494743347168
"rsf_naive__cvr1f3__imp8",8230,0.0445861694002894,107.698563337326
"rsf_naive__cvr1f4__imp8",8229,0.0423032100398569,105.331341981888
"rsf_naive__cvr2f0__imp8",8232,0.0441229746537836,103.919941902161
"rsf_naive__cvr2f1__imp8",8230,0.0424871782465533,106.131863832474
"rsf_naive__cvr2f2__imp8",8230,0.0437135800608247,105.905053853989
"rsf_naive__cvr2f3__imp8",8230,0.0423738770338157,105.921405076981
"rsf_naive__cvr2f4__imp8",8229,0.0431660675735915,107.428858757019
"rsf_cr__cvr0f0__imp8",8232,0.0368752091051728,198.700034379959
"rsf_cr__cvr0f1__imp8",8230,0.0375462787012669,193.757781267166
"rsf_cr__cvr0f2__imp8",8230,0.0365843266244784,193.824412345886
"rsf_cr__cvr0f3__imp8",8230,0.0365268902111657,193.604983091354
"rsf_cr__cvr0f4__imp8",8229,0.0373353165028767,198.303357124329
"rsf_cr__cvr1f0__imp8",8232,0.0364824129318535,198.742137908936
"rsf_cr__cvr1f1__imp8",8230,0.0369210343564436,195.126581430435
"rsf_cr__cvr1f2__imp8",8230,0.0370988314892293,196.203634500504
"rsf_cr__cvr1f3__imp8",8230,0.0376230405317576,194.415298461914
"rsf_cr__cvr1f4__imp8",8229,0.03604611609817,195.171654224396
"rsf_cr__cvr2f0__imp8",8232,0.037789896603116,193.499373912811
"rsf_cr__cvr2f1__imp8",8230,0.0373244770637686,196.494226694107
"rsf_cr__cvr2f2__imp8",8230,0.0376669171634034,195.531512260437
"rsf_cr__cvr2f3__imp8",8230,0.0358559269512629,197.669091939926
"rsf_cr__cvr2f4__imp8",8229,0.036692601706556,197.079209566116
"rsf_naive__temporal__imp9",9329,0.0486861493026837,45.4770307540894
"rsf_cr__temporal__imp9",9329,0.0424398170469557,95.1038303375244
"rsf_naive__cvr0f0__imp9",8232,0.0432600888100242,103.930302619934
"rsf_naive__cvr0f1__imp9",8230,0.0429351860722895,105.776792287827
"rsf_naive__cvr0f2__imp9",8230,0.0412656638046961,103.371067762375
"rsf_naive__cvr0f3__imp9",8230,0.0427360326337595,104.375129938126
"rsf_naive__cvr0f4__imp9",8229,0.0430186892420183,105.840030193329
"rsf_naive__cvr1f0__imp9",8232,0.0420171296844888,104.47429728508
"rsf_naive__cvr1f1__imp9",8230,0.0428608398199213,103.721851348877
"rsf_naive__cvr1f2__imp9",8230,0.0438344172486865,105.825755119324
"rsf_naive__cvr1f3__imp9",8230,0.0445798928201255,105.706850528717
"rsf_naive__cvr1f4__imp9",8229,0.042369391543647,103.113342523575
"rsf_naive__cvr2f0__imp9",8232,0.0442657425040394,104.792919158936
"rsf_naive__cvr2f1__imp9",8230,0.0424649415916403,108.131533622742
"rsf_naive__cvr2f2__imp9",8230,0.0436994020112123,105.557901859283
"rsf_naive__cvr2f3__imp9",8230,0.0421336859131848,102.819025993347
"rsf_naive__cvr2f4__imp9",8229,0.0435700140581812,107.428635597229
"rsf_cr__cvr0f0__imp9",8232,0.0367297334556976,198.700176000595
"rsf_cr__cvr0f1__imp9",8230,0.0375508003795361,195.491271018982
