split,model,horizon_y,metric,fmi,df,m,se,m_required_von_hippel
cv,cox_naive,15.0,frac_above_0.2,0.04720471634484845,9834.956708005513,30,0.0017014674395804243,3.0
cv,cox_naive,15.0,nb_all_at_0.01,4.860149189361204e-05,41148.00014579739,30,0.0017371690759822298,2.0
cv,cox_naive,15.0,nb_all_at_0.02,4.860149189361204e-05,41148.00014579739,30,0.0017548952362100268,2.0
cv,cox_naive,15.0,nb_all_at_0.03,4.860149189361204e-05,41148.00014579739,30,0.0017729870634419869,2.0
cv,cox_naive,15.0,nb_all_at_0.05,4.860149189361204e-05,41148.00014579739,30,0.001810313009012997,2.0
cv,cox_naive,15.0,nb_all_at_0.075,4.860149189361204e-05,41148.00014579739,30,0.0018592403611930551,2.0
cv,cox_naive,15.0,nb_all_at_0.2,4.860149189361204e-05,41148.00014579739,30,0.002149746595740512,2.0
cv,rsf_naive,5.0,mean_pred,0.01730322354749602,28596.280777924665,30,0.0001429091841080714,2.0
cv,rsf_naive,5.0,obs_cif,4.860149189361204e-05,41148.00014579739,30,0.000629099690450189,2.0
cv,rsf_naive,5.0,eo,0.0008510653576989632,41077.48937074957,30,0.04175621247305847,2.0
cv,rsf_naive,5.0,calib_intercept,0.011048971744772323,34796.436344757756,30,0.05054526972676905,2.0
cv,rsf_naive,5.0,calib_slope,0.0628445457634602,6221.928659148104,30,0.05738146152074543,4.0
cv,rsf_naive,5.0,ici,0.0329937477079646,16030.096492274355,30,0.0005740698192511508,2.0
cv,rsf_naive,5.0,e50,0.10884737476247171,2328.9661787949144,30,0.0003714955122411141,7.0
cv,rsf_naive,5.0,e90,0.029136329546398745,18489.262489383185,30,0.0018203606650889625,2.0
cv,rsf_naive,5.0,obs_concordant,4.860149189361204e-05,41148.00014579739,30,0.0006423628821256964,2.0
cv,rsf_naive,5.0,eo_concordant,0.0008502299631218343,41077.601627780605,30,0.04096319008283185,2.0
cv,rsf_naive,5.0,calib_intercept_concordant,0.010770864689453269,35058.38402645529,30,0.050360115864569996,2.0
cv,rsf_naive,5.0,calib_slope_concordant,0.062452657704397126,6287.686229336779,30,0.05682805484160221,3.0
cv,rsf_naive,5.0,ici_concordant,0.027359110623470184,19761.282815549846,30,0.0005646974508077848,2.0
cv,rsf_naive,5.0,e50_concordant,0.06902394746180276,5302.491291900806,30,0.00038128369469218263,4.0
cv,rsf_naive,5.0,e90_concordant,0.03953350219809044,12696.288513829184,30,0.0016062495870912095,2.0
cv,rsf_naive,5.0,auc,0.08820202803215879,3432.080699318741,30,0.007787594836670777,5.0
cv,rsf_naive,5.0,cindex,0.07983930622979803,4106.27927803972,30,0.008022242412997963,5.0
cv,rsf_naive,5.0,auc_marginal_ipcw,0.0780514068666159,4275.195364289717,30,0.007870434350356281,5.0
cv,rsf_naive,5.0,cindex_marginal_ipcw,0.078210704849781,4259.740730072438,30,0.007828923285077038,5.0
cv,rsf_naive,5.0,at_risk_fraction,4.860149189361204e-05,41148.00014579739,30,0.0019620496140070115,2.0
cv,rsf_naive,5.0,nb_at_0.01,0.019278070721194394,26670.823397676006,30,0.0006021851295885763,2.0
cv,rsf_naive,5.0,nb_at_0.02,0.0342746503164196,15299.418450203155,30,0.0005755314852067207,2.0
cv,rsf_naive,5.0,nb_at_0.03,0.0477285489824831,9672.273110600101,30,0.0005435816760586292,3.0
cv,rsf_naive,5.0,nb_at_0.05,0.03727080130474256,13742.547682076874,30,0.00047291371188396046,2.0
cv,rsf_naive,5.0,nb_at_0.075,0.08332779240961138,3803.4628900810194,30,0.0003830408656583098,5.0
cv,rsf_naive,5.0,nb_at_0.2,0.16926379275364017,1005.9161270747538,30,6.0796235850932756e-05,14.0
cv,rsf_naive,5.0,frac_above_0.01,0.3762810331550985,213.49586682516795,30,0.003095103039553859,52.0
cv,rsf_naive,5.0,frac_above_0.02,0.2697847382249765,407.65580546829,30,0.002520398106316906,30.0
cv,rsf_naive,5.0,frac_above_0.03,0.3331140588073805,270.5409483803185,30,0.002297022581538187,43.0
