split,model,family,horizon_y,metric,concordant_smoother,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m
cv,rsf_cr,competing,10,e50_smoothfg,undetermined,0.002688914410506103,0.003928019968588505,0.006260944944213688,0.0015106475868037958,0.0038671812342084104,0.0006011146934042352,0.037243332261391524,13755.905272029502,30
cv,rsf_cr,competing,10,e50_smoothcsh,undetermined,0.0017614705018694668,0.0017854100481191125,0.0033736208935233425,0.0009835144183089031,0.0025394265854300304,0.00039653179426241115,0.1527060996361066,1225.957843640279,30
cv,rsf_cr,competing,10,e50_smoothnet,undetermined,0.00183137208839917,0.0020922852500284525,0.0036193165449145024,0.0011035520167805156,0.0025591921600178246,0.0003712887574974875,0.053103138493702344,8196.252543781093,30
cv,rsf_cr,competing,10,e90_smoothfg,undetermined,0.00554530617900122,0.004687631864056745,0.009771482199474924,0.003015675007838835,0.008074937350163605,0.0012905722750287329,0.02753998423043449,19627.673963687204,30
cv,rsf_cr,competing,10,e90_smoothcsh,undetermined,0.002427632931169613,0.007275395698651028,0.018732902603024033,-0.003484224861491652,0.008339490723830879,0.003016201525533734,0.012041534586873851,33842.950580497774,30
cv,rsf_cr,competing,10,e90_smoothnet,undetermined,0.01723911065741022,0.02715882973409497,0.03950262679267934,0.010744216139745839,0.023734005175074596,0.003313668752506937,0.010581541520482513,35235.20011348616,30
cv,rsf_naive,naive,10,ici_smoothfg,smoothnet,0.009112892281465116,0.00711455130834171,0.00966872901746245,0.007875911446833224,0.010349873116097008,0.0006310731409180963,0.03493009349843036,14941.057417855927,30
cv,rsf_naive,naive,10,ici_smoothcsh,smoothnet,0.007615312480996561,0.0027618066735113278,0.005591123418753043,0.006181124250962457,0.009049500711030665,0.0007317026018378919,0.02401402255881239,22403.4740085755,30
cv,rsf_naive,naive,10,ici_smoothnet,smoothnet,0.00229760669074646,0.003462754671486238,0.006880113033212879,0.0004245273123277143,0.0041706860691652055,0.0009555936760803353,0.03464626360871038,15094.975847173675,30
cv,rsf_naive,naive,10,e50_smoothfg,smoothnet,0.0033159207911367832,0.0044935523809298055,0.00637345288686339,0.002438611599216745,0.004193229983056821,0.00044754328351446376,0.05585389015042846,7559.091547117328,30
cv,rsf_naive,naive,10,e50_smoothcsh,smoothnet,0.0022307158156184203,0.0019839303842560476,0.0033399648267365455,0.0015469930438911847,0.0029144385873456557,0.00034845971937037985,0.1617975722980313,1097.1353682781078,30
cv,rsf_naive,naive,10,e50_smoothnet,smoothnet,0.002146698421129296,0.001886273765541215,0.0036212281673957828,0.001331994012975527,0.002961402829283065,0.00041545638688240266,0.10904735332764086,2320.9941159067344,30
cv,rsf_naive,naive,10,e90_smoothfg,smoothnet,0.02719750723052683,0.011902015453577535,0.022732895276697914,0.021670328304581626,0.03272468615647203,0.0028199489993375113,0.008506534747522958,37073.62429954081,30
