model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
nfg,0.001,0.01487572958642552,1.0,30,cv,5.0
nfg,0.002,0.013911488872445006,0.9856312388790337,30,cv,5.0
nfg,0.003,0.013608122480688423,0.6390766796540654,30,cv,5.0
nfg,0.004,0.013052975674383554,0.5283489803136957,30,cv,5.0
nfg,0.005,0.012589851081867089,0.4662932452026277,30,cv,5.0
nfg,0.006,0.01203879436979174,0.4239081539803272,30,cv,5.0
nfg,0.007,0.011519186304267475,0.39256208165590684,30,cv,5.0
nfg,0.008,0.011047962150454756,0.36659889458606376,30,cv,5.0
nfg,0.009,0.010623948144305072,0.34431808056507335,30,cv,5.0
nfg,0.01,0.010253174201894586,0.3253400079382437,30,cv,5.0
nfg,0.011,0.009919887277423288,0.3088905629402823,30,cv,5.0
nfg,0.012,0.009616970755372078,0.2941205695014837,30,cv,5.0
nfg,0.013,0.00934018714884673,0.2808402117945021,30,cv,5.0
nfg,0.014,0.009076439507159558,0.2687306100297279,30,cv,5.0
nfg,0.015,0.008809988815609404,0.2579278483849454,30,cv,5.0
nfg,0.016,0.008559489729175656,0.24809819661463609,30,cv,5.0
nfg,0.017,0.008318970758535632,0.2389678663134958,30,cv,5.0
nfg,0.018,0.008092716066939766,0.2304304742155584,30,cv,5.0
nfg,0.019,0.007856200369403217,0.22249628063581553,30,cv,5.0
nfg,0.02,0.007631476682716334,0.2150173210317557,30,cv,5.0
nfg,0.025,0.006761110938360936,0.18370310968546733,30,cv,5.0
nfg,0.03,0.0059978492358802446,0.1584184534465208,30,cv,5.0
nfg,0.035,0.00529401939521769,0.13792293423408097,30,cv,5.0
nfg,0.04,0.004621336950890339,0.12053791051385276,30,cv,5.0
nfg,0.045,0.004015492485443418,0.10530404283411501,30,cv,5.0
nfg,0.05,0.0034628024798326064,0.09202098504424086,30,cv,5.0
nfg,0.055,0.0030207319275220275,0.08030235528230717,30,cv,5.0
nfg,0.06,0.00261839681141977,0.07006823109469461,30,cv,5.0
nfg,0.065,0.0022712251168870634,0.06130052192602312,30,cv,5.0
nfg,0.07,0.001971389119846892,0.053636336635534715,30,cv,5.0
nfg,0.075,0.0016963172999573037,0.046946611260965714,30,cv,5.0
nfg,0.08,0.001425736212055388,0.04093649675045024,30,cv,5.0
nfg,0.085,0.0011935747157580546,0.0355158103353773,30,cv,5.0
nfg,0.09,0.0010234071246883424,0.030697782421920353,30,cv,5.0
nfg,0.095,0.0008478711910200055,0.026292597182733506,30,cv,5.0
nfg,0.1,0.0006783682048891302,0.022406637883783033,30,cv,5.0
nfg,0.125,0.0002501928351158914,0.008931334191959694,30,cv,5.0
nfg,0.15,3.171132683377577e-05,0.0020110217383673677,30,cv,5.0
nfg,0.2,-6.750207231362002e-08,2.700082892544801e-07,30,cv,5.0
rsf_cr,0.001,0.01490491638354784,0.7430174506357344,30,cv,5.0
rsf_cr,0.002,0.014143485845153219,0.6509038527482793,30,cv,5.0
rsf_cr,0.003,0.013490050649883916,0.5896257415102644,30,cv,5.0
rsf_cr,0.004,0.012907750510795719,0.5442214175975202,30,cv,5.0
rsf_cr,0.005,0.012357808157018058,0.5081766610234933,30,cv,5.0
rsf_cr,0.006,0.011865639136254122,0.4780224052878423,30,cv,5.0
rsf_cr,0.007,0.011430312926317023,0.4517357482874724,30,cv,5.0
rsf_cr,0.008,0.011017793347675867,0.42820614592868006,30,cv,5.0
rsf_cr,0.009,0.010615521122693277,0.40679421858251047,30,cv,5.0
rsf_cr,0.01,0.010249845257858586,0.38715786574647837,30,cv,5.0
rsf_cr,0.011,0.009887787500017068,0.3690546199768333,30,cv,5.0
rsf_cr,0.012,0.009546586415676657,0.35236378756827835,30,cv,5.0
rsf_cr,0.013,0.009213369630464603,0.33677566901303874,30,cv,5.0
rsf_cr,0.014,0.008905335900368523,0.32236991675644444,30,cv,5.0
rsf_cr,0.015,0.00861573502765626,0.3088155006358695,30,cv,5.0
rsf_cr,0.016,0.008342850547303124,0.29611539074249577,30,cv,5.0
rsf_cr,0.017,0.008088887660580097,0.28420856520295174,30,cv,5.0
rsf_cr,0.018,0.007863056664282114,0.2731028542576257,30,cv,5.0
rsf_cr,0.019,0.007641673706808657,0.2626346328832295,30,cv,5.0
rsf_cr,0.02,0.00743090600407527,0.25283684209105217,30,cv,5.0
rsf_cr,0.025,0.006510980583032823,0.2109310155821784,30,cv,5.0
rsf_cr,0.03,0.005656776670690352,0.17787417073704165,30,cv,5.0
rsf_cr,0.035,0.0049438105912674125,0.15110014877456737,30,cv,5.0
rsf_cr,0.04,0.00426336808696834,0.12892328794493993,30,cv,5.0
rsf_cr,0.045,0.003662788785625591,0.11019092286133184,30,cv,5.0
rsf_cr,0.05,0.0031122880242385664,0.09417349112617757,30,cv,5.0
rsf_cr,0.055,0.002595094061035997,0.08058856406891692,30,cv,5.0
rsf_cr,0.06,0.0021603672235281915,0.06905380995196553,30,cv,5.0
rsf_cr,0.065,0.0017386782465312529,0.05898871095342627,30,cv,5.0
rsf_cr,0.07,0.0013905353834965915,0.05012109871773063,30,cv,5.0
