model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
csc_cox,0.07,0.0006196425298842656,0.07180476649873155,30,temporal,5.0
csc_cox,0.075,0.0004727098199067324,0.06115339264658592,30,temporal,5.0
csc_cox,0.08,0.0002776133639686748,0.053128238110551326,30,temporal,5.0
csc_cox,0.085,0.00013495727231671318,0.04596419766320078,30,temporal,5.0
csc_cox,0.09,-2.8623964737160127e-05,0.0399506913924322,30,temporal,5.0
csc_cox,0.095,-8.366157373381868e-05,0.03430878622217458,30,temporal,5.0
csc_cox,0.1,-0.00019493177387914183,0.030124700753921464,30,temporal,5.0
csc_cox,0.125,-0.0005089097489140362,0.016368313860006433,30,temporal,5.0
csc_cox,0.15,-0.0007879708856422835,0.008871976274698967,30,temporal,5.0
csc_cox,0.2,-0.0004216243255797334,0.002222460428055883,30,temporal,5.0
deephit,0.001,0.012868694613790551,0.9720227248365312,30,temporal,5.0
deephit,0.002,0.01218444320663337,0.8267409868867689,30,temporal,5.0
deephit,0.003,0.011683630589485251,0.7014113695644407,30,temporal,5.0
deephit,0.004,0.011297528700574263,0.6206524457783971,30,temporal,5.0
deephit,0.005,0.010956576572791423,0.5644870832886697,30,temporal,5.0
deephit,0.006,0.010593348924072897,0.5210919355415015,30,temporal,5.0
deephit,0.007,0.010187883591903608,0.4847536356165362,30,temporal,5.0
deephit,0.008,0.009757266334484788,0.4547111158752278,30,temporal,5.0
deephit,0.009,0.009295147375797981,0.4295565798406403,30,temporal,5.0
deephit,0.01,0.008827005900647234,0.4085075213491978,30,temporal,5.0
deephit,0.011,0.008406336858045064,0.3895308536106049,30,temporal,5.0
deephit,0.012,0.008016561766893218,0.37229427948690463,30,temporal,5.0
deephit,0.013,0.007716565756810886,0.35687997999071,30,temporal,5.0
deephit,0.014,0.007416432332281772,0.34363454460999754,30,temporal,5.0
deephit,0.015,0.007087409509745189,0.331868367456319,30,temporal,5.0
deephit,0.016,0.006746163506227195,0.32116697037910463,30,temporal,5.0
deephit,0.017,0.006402031374761594,0.3116411190910065,30,temporal,5.0
deephit,0.018,0.006055211697429785,0.3030835745167399,30,temporal,5.0
deephit,0.019,0.005769334364393078,0.295440740343731,30,temporal,5.0
deephit,0.02,0.005475720141202583,0.28837674634651805,30,temporal,5.0
deephit,0.025,0.004312808236058316,0.2557115803766034,30,temporal,5.0
deephit,0.03,0.0034963582134415147,0.2271090148997749,30,temporal,5.0
deephit,0.035,0.0028352541918518427,0.20481652195662273,30,temporal,5.0
deephit,0.04,0.0022220137921177678,0.18553256869260729,30,temporal,5.0
deephit,0.045,0.0016508973781207685,0.1680744631436024,30,temporal,5.0
deephit,0.05,0.0010194582823228068,0.15185264587129738,30,temporal,5.0
deephit,0.055,0.0005958359729753588,0.13632400757494553,30,temporal,5.0
deephit,0.06,0.0002713265809581807,0.12122413977918318,30,temporal,5.0
deephit,0.065,0.0001233766097284672,0.1072319291099439,30,temporal,5.0
deephit,0.07,0.00011314777098890956,0.09420445206703112,30,temporal,5.0
deephit,0.075,0.00019033933708604198,0.0824061171258084,30,temporal,5.0
