model,cfg_id,seed,seed_used,imp,cfg,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,deephit_030,1,20263395,1,"{""alpha"": 0.1, ""batch_size"": 512, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.09181046468225561,0.041509174627173406,2.2118113768071206,-0.8311616874642701,1.1185623948169052,0.04977532208409594,0.021522831299718187,0.1442675569210603,0.8385600739222325,0.8319880887396566,1.0,0.04223054581022156
deephit,deephit_028,2,20264352,1,"{""alpha"": 0.3, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.05, ""trunk"": [128, 64]}",0.09393740367659806,0.041509174627173406,2.2630515908910227,-0.8672960495440644,0.8773115931801893,0.05384589473115588,0.042795019032493054,0.12170534427261248,0.7376072947872195,0.7327557102681103,1.0,0.04306108857381688
deephit,deephit_004,0,20261962,1,"{""alpha"": 0.7, ""batch_size"": 128, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.5, ""trunk"": [32]}",0.041237653566979476,0.041509174627173406,0.9934587699554935,0.03664532426862897,1.0936603877965185,0.002291115877700778,0.0008936950083788279,0.003637743182927422,0.8364058685743617,0.8298184431151086,1.0,0.03654498611091786
deephit,deephit_034,0,20262472,1,"{""alpha"": 1.0, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.1, ""trunk"": [32]}",0.041897181544755455,0.041509174627173406,1.0093474977777093,0.07286836526543544,1.220572906034621,0.004618687369846716,0.0027509379650926258,0.006818712122409476,0.8358056777858658,0.8292479363728671,1.0,0.03664510539446766
deephit,deephit_017,2,20264165,1,"{""alpha"": 0.5, ""batch_size"": 512, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.054273976424539905,0.041509174627173406,1.3075176009163574,-0.20945415197099457,1.2077180833940546,0.012650676493695844,0.00893889905737355,0.030020313369690688,0.8420688633459592,0.835605036404234,1.0,0.036530749298735746
deephit,deephit_032,0,20262438,1,"{""alpha"": 0.9, ""batch_size"": 128, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [64, 64, 64]}",0.04589572649028889,0.041509174627173406,1.1056766823844262,-0.03518031492273996,1.0759578310506281,0.004326235030110001,0.004546745614647983,0.005462916308495592,0.8373345261175585,0.8309635822849347,1.0,0.03644764902477807
deephit,deephit_018,2,20264182,1,"{""alpha"": 0.5, ""batch_size"": 128, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.04709734507623253,0.041509174627173406,1.1346249473580452,-0.18568658686324696,0.8858663516790795,0.0056003178154561285,0.0006842566962991237,0.019539068889994682,0.8363538741983013,0.8298003133428964,1.0,0.03675189734535397
deephit,deephit_010,2,20264046,1,"{""alpha"": 0.7, ""batch_size"": 512, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.05, ""trunk"": [32]}",0.05015276899819716,0.041509174627173406,1.2082333471734545,-0.031628363026327724,1.761440898302616,0.014112915458968062,0.01299682383164158,0.02382169322138028,0.8282002538465154,0.8218602866293744,1.0,0.03717301562416155
deephit,deephit_014,1,20263123,1,"{""alpha"": 0.5, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.5, ""trunk"": [64, 64]}",0.054882064071940975,0.041509174627173406,1.3221670766735312,-0.17574903495964736,1.117147950926947,0.01446892630801328,0.014666894525651841,0.018059240378038965,0.830764360063191,0.8243114085891655,1.0,0.036964617452499945
deephit,deephit_017,1,20263174,1,"{""alpha"": 0.5, ""batch_size"": 512, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.051622695527119004,0.041509174627173406,1.2436454347932258,-0.1385717865766635,1.255352032669989,0.010319248325613173,0.008336964699393396,0.02276316049874061,0.8418264603415865,0.8353437236297524,1.0,0.036433106737599634
deephit,deephit_032,1,20263429,1,"{""alpha"": 0.9, ""batch_size"": 128, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [64, 64, 64]}",0.04335084635465968,0.041509174627173406,1.0443678233553855,-0.028596076319300532,0.9598511015321898,0.0030196723061016177,0.002934681571177368,0.0035746204132692805,0.8386904159882469,0.8322909489087911,1.0,0.03635984681316345
deephit,deephit_026,1,20263327,1,"{""alpha"": 0.3, ""batch_size"": 128, ""dropout"": 0.1, ""head"": [32, 32], ""lr"": 0.001, ""num_durations"": 80, ""sigma"": 0.5, ""trunk"": [64]}",0.05743996979165499,0.041509174627173406,1.3837897358251183,-0.2379969019797196,1.2316415791428277,0.015359539228761137,0.011880171170409515,0.031535151021034435,0.839827763287412,0.8332165551317656,1.0,0.03684147677083352
deephit,deephit_019,1,20263208,1,"{""alpha"": 0.0, ""batch_size"": 256, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.05, ""trunk"": [64]}",0.15761980734165956,0.041509174627173406,3.7972281732259727,-1.3394300059395605,2.0902036182937636,0.11587973413124858,0.12637678270179487,0.14657383013411096,0.6740826316466738,0.6697929870554589,1.0,0.053694741877605055
deephit,deephit_026,2,20264318,1,"{""alpha"": 0.3, ""batch_size"": 128, ""dropout"": 0.1, ""head"": [32, 32], ""lr"": 0.001, ""num_durations"": 80, ""sigma"": 0.5, ""trunk"": [64]}",0.05776120567520669,0.041509174627173406,1.391528648642272,-0.26553347213436224,1.181164333665642,0.015911405182249053,0.011225973401881029,0.035980501297277256,0.8356907678405999,0.8292158606220301,1.0,0.037026441886467545
deephit,deephit_034,2,20264454,1,"{""alpha"": 1.0, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.1, ""trunk"": [32]}",0.04158076586671124,0.041509174627173406,1.0017247088187335,0.07776512553413964,1.2600467202110188,0.005229725099715417,0.0027896797335194012,0.008212481751149636,0.8371753378566066,0.8305787313831354,1.0,0.03658128098475362
deephit,deephit_016,2,20264148,1,"{""alpha"": 0.9, ""batch_size"": 256, ""dropout"": 0.2, ""head"": [64], ""lr"": 0.001, ""num_durations"": 80, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.05214819039565791,0.041509174627173406,1.2563051629920827,-0.10241731096811425,1.329108336458796,0.011171097603671153,0.010432793368597593,0.0196666420665228,0.840430446956952,0.8338845093996478,1.0,0.036617034995546756
