model,imp,member,mean_risk10,frac_above_0.01,frac_above_0.02,frac_above_0.03,frac_above_0.05,frac_above_0.075,frac_above_0.2
nfg,3,5,0.042696211487054825,0.49415800192946724,0.38332082752706614,0.3243648836960017,0.2539393289741666,0.19905670489870297,0.04620002143852503
nfg,3,6,0.03824511915445328,0.553757101511416,0.4072247829349341,0.33036767070425554,0.24665023046414405,0.17890449137099368,0.02304641440668882
nfg,3,7,0.03822803497314453,0.48065173116089616,0.3586665237431665,0.276878550755708,0.21856576267552794,0.17568871261657198,0.035266373673491266
nfg,3,8,0.0405501164495945,0.5053060349447958,0.3467681423518062,0.2920999035266374,0.23303676707042556,0.18672955300675315,0.044699324686461574
nfg,3,9,0.03826218470931053,0.4395969557294458,0.3341194125844142,0.2863115017686783,0.23432307857219423,0.18544324150498445,0.03773180405188123
nfg,4,0,0.03901909664273262,0.5530067531353843,0.39564797941901597,0.33218994533176116,0.2502947797191553,0.18672955300675315,0.01500696752063458
nfg,4,1,0.04712074249982834,0.5587951548933433,0.3992925286740272,0.3395862364669311,0.2722692678743702,0.2187801479258227,0.0539178904491371
nfg,4,2,0.04346015676856041,0.557080072890985,0.3867509915317826,0.32382892057026474,0.25736949297888306,0.2095615821631472,0.036874263050702114
nfg,4,3,0.04855048283934593,0.5221352770929361,0.3983277950477007,0.3460177939757745,0.28577553864294136,0.23528781219852074,0.05702647657841141
nfg,4,4,0.04409370571374893,0.5001607889377211,0.39671990567048987,0.3428020152213528,0.2780576696323293,0.22274627505627612,0.0359095294243756
nfg,4,5,0.044686246663331985,0.5132382892057027,0.38985957766105694,0.33690642083824635,0.27205488262407546,0.21749383642405404,0.045342480437345914
nfg,4,6,0.041152846068143845,0.5195626540893986,0.38117697502411835,0.32275699431879085,0.2494372387179762,0.19058848751205917,0.033872869546575195
nfg,4,7,0.04114831984043121,0.5194554614642513,0.3850359095294244,0.3183620966877479,0.24793654196591275,0.1933754957658913,0.036874263050702114
nfg,4,8,0.0478476881980896,0.5572944581412799,0.4163361560724622,0.3568442491156608,0.281273448386751,0.2188873405509701,0.0539178904491371
nfg,4,9,0.04460138827562332,0.5137742523314396,0.38685818415693,0.3320827527066138,0.2696966448708329,0.22113838567906527,0.04309143530925073
nfg,5,0,0.04785122722387314,0.5400364454925501,0.39371851216636294,0.3380855397148676,0.27602100975452887,0.2261764390609926,0.061314181584307
nfg,5,1,0.04861999675631523,0.5638332082752706,0.4273769964626434,0.3672419337549577,0.2959588380319434,0.2431128738342802,0.04791510344088327
nfg,5,2,0.047058407217264175,0.5676921427805767,0.4295208489655912,0.35877371636831384,0.2815950262621932,0.22017365205273878,0.04909422231750456
nfg,5,3,0.041957199573516846,0.4682173866437989,0.35459320398756566,0.3009968914138707,0.24075463608103762,0.19208918426412264,0.05059491906956801
nfg,5,4,0.04336433485150337,0.5805552577982634,0.431128738342802,0.340658162718405,0.25544002572623004,0.1987351270232608,0.040518812305713366
nfg,5,5,0.042444899678230286,0.5234215885947047,0.3836424054025083,0.32318576481938044,0.25619037410226175,0.20270125415371423,0.03826776717761818
nfg,5,6,0.03751107677817345,0.46049951763318686,0.34516025297459535,0.29017043627398437,0.22692678743702432,0.1785829134955515,0.031514631793332616
nfg,5,7,0.03878197818994522,0.5608318147711437,0.3809625897738236,0.30592775217065066,0.23818201307750025,0.17761817986922498,0.02186729553006753
nfg,5,8,0.04833724722266197,0.6133562010933648,0.47593525565441097,0.40229392217815413,0.3053917890449137,0.22960660306570907,0.03558795154893343
nfg,5,9,0.03613651543855667,0.5076642726980384,0.361560724622146,0.29553006753135386,0.22681959481187694,0.17172258548611855,0.018008361024761495
nfg,6,0,0.0448029488325119,0.49415800192946724,0.37463822489012755,0.3258655804480652,0.26305070211169473,0.21492121342051668,0.04984457069353628
nfg,6,1,0.03513912856578827,0.49244291992710904,0.3498767284810805,0.29252867402722693,0.21738664379890663,0.16421910172580126,0.017686783149319325
nfg,6,2,0.03834129869937897,0.5381069782398971,0.380533819273234,0.31643262943509487,0.23968270982956372,0.1819058848751206,0.021438525029477972
nfg,6,3,0.03803984820842743,0.5310322649801693,0.38835888090899345,0.3269375066995391,0.24600707471325972,0.17933326187158324,0.014471004394897631
nfg,6,4,0.042699068784713745,0.5369278593632758,0.4065816271840497,0.3492335727301962,0.2625147389859578,0.20227248365312467,0.03612391467467038
nfg,6,5,0.04095099866390228,0.4568549683781756,0.35705863436595564,0.3107514203022832,0.24782934934076536,0.19702004502090256,0.039232500803944685
nfg,6,6,0.044128332287073135,0.5153821417086505,0.38525029477971917,0.32833101082645516,0.26583771036552684,0.2145996355450745,0.04148354593203987
nfg,6,7,0.04311996325850487,0.6247186193589881,0.4356308285989924,0.348911994854754,0.26155000535963124,0.1955193482688391,0.028191660413763534
nfg,6,8,0.03906456008553505,0.4640368742630507,0.3709936756351163,0.31461035480758925,0.2495444313431236,0.1925179547647122,0.02486868903419445
nfg,6,9,0.04274892807006836,0.5224568549683781,0.3748526101404223,0.3038910922928503,0.23711008682602636,0.19294672526530174,0.05220280844677886
nfg,7,0,0.04463104531168938,0.5057348054453854,0.3902883481616465,0.34012219959266804,0.27677135813056064,0.2240325865580448,0.04212670168292421
nfg,7,1,0.039394065737724304,0.49094222317504554,0.3699217493836424,0.3076428341730089,0.2355021974488155,0.1764390609926037,0.03676707042555472
