split,model,horizon_y,metric,fmi_single,df_single,m_single,se_single,m_required_von_hippel_single,fmi_ens,df_ens,m_ens,se_ens,m_required_von_hippel_ens
cv,deephit,15.0,calib_intercept,0.2535832978943517,459.8048911677645,30,0.0363428280829912,27.0,0.0444268633399406,10761.989653344106,30,0.0320682876641102,3.0
cv,deephit,15.0,calib_slope,0.1783323515752638,909.630850941007,30,0.0437113532753917,16.0,0.0442036435376594,10841.459512554584,30,0.0441979977316587,3.0
cv,deephit,15.0,ici,0.4041344670860662,185.8508816633788,30,0.0019172362931733,58.0,0.0664300989762501,5663.151291849811,30,0.0016217998667617,4.0
cv,deephit,15.0,e50,0.3159954747397612,299.7648798642909,30,0.0013942721696314,39.0,0.0516426894553382,8564.979825603361,30,0.0013322009631099,3.0
cv,deephit,15.0,e90,0.2968300152122928,338.547533418822,30,0.0061284100594001,35.0,0.0634861128459648,6116.360517253307,30,0.0050675286498023,4.0
cv,deephit,15.0,obs_concordant,4.860149189361204e-05,41148.00014579739,30,0.0017197974801951,2.0,4.860149189361204e-05,41148.00014579739,30,0.0017197974801951,2.0
cv,deephit,15.0,eo_concordant,0.324131095883949,285.30877667192414,30,0.0344309652898357,41.0,0.0491922435907857,9236.566827205195,30,0.0290637705558608,3.0
cv,deephit,15.0,calib_intercept_concordant,0.2535832978943517,459.8048911677645,30,0.0363428280829912,27.0,0.0444268633399406,10761.989653344106,30,0.0320682876641102,3.0
cv,deephit,15.0,calib_slope_concordant,0.1783323515752638,909.630850941007,30,0.0437113532753917,16.0,0.0442036435376594,10841.459512554584,30,0.0441979977316587,3.0
cv,deephit,15.0,ici_concordant,0.4041344670860662,185.8508816633788,30,0.0019172362931733,58.0,0.0664300989762501,5663.151291849811,30,0.0016217998667617,4.0
cv,deephit,15.0,e50_concordant,0.3159954747397612,299.7648798642909,30,0.0013942721696314,39.0,0.0516426894553382,8564.979825603361,30,0.0013322009631099,3.0
cv,deephit,15.0,e90_concordant,0.2968300152122928,338.547533418822,30,0.0061284100594001,35.0,0.0634861128459648,6116.360517253307,30,0.0050675286498023,4.0
cv,deephit,15.0,auc,0.02639020058343,20493.16957258092,30,0.0054408870275997,2.0,0.0246972490678618,21837.49437438236,30,0.0054494815156944,2.0
cv,deephit,15.0,cindex,0.0727770235276883,4836.345576536079,30,0.0052010033236409,4.0,0.0505045790847477,8868.296567103278,30,0.0049908185310197,3.0
cv,deephit,15.0,auc_marginal_ipcw,0.021058658838419,25000.43921073584,30,0.0054432131600088,2.0,0.0144087880717234,31493.748768415277,30,0.0054246002254799,2.0
cv,deephit,15.0,cindex_marginal_ipcw,0.0196238229701755,26341.00488390465,30,0.0050992179326023,2.0,0.0121309803792246,33755.79961396801,30,0.0050845409708041,2.0
cv,deephit,15.0,at_risk_fraction,4.860149189361204e-05,41148.00014579739,30,0.0023392404352275,2.0,4.860149189361204e-05,41148.00014579739,30,0.0023392404352275,2.0
cv,deephit,15.0,nb_at_0.01,0.0058891714459585,39031.31960972718,30,0.001729372172106,2.0,0.0038996735432487,40148.50982636112,30,0.0017330178465274,2.0
cv,deephit,15.0,nb_at_0.02,0.005259789901192,39423.71883096795,30,0.0017170790924322,2.0,0.004891601818283,39637.07568935857,30,0.0017237545528877,2.0
cv,deephit,15.0,nb_at_0.03,0.0067611897952912,38433.69905431121,30,0.0017007382636529,2.0,0.0073063513389934,38030.80409806081,30,0.0017084697460033,2.0
cv,deephit,15.0,nb_at_0.05,0.0103609708843405,35439.560775474165,30,0.0016668234380183,2.0,0.0074122452733681,37950.10615045697,30,0.0016822783610435,2.0
