model,config,protocol,seed,imp,seed_used,horizon,cfg,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
nfg,tuned_cindex,temporal_test,9,1,20816936,10.0,"{""batch_size"": 256, ""dropout"": 0.1, ""layers"": [32, 32], ""layers_surv"": [64], ""lr"": 0.005, ""weight_decay"": 0.001}",0.047119638968414555,0.03296079030764276,1.4295664190275412,-0.4148154015525188,0.9552708554386017,0.01427918454318629,0.0027119561937919423,0.050257644856081585,0.8244988796414036,0.8247523091605676,0.7793975774466717,0.031470767883660995
deephit,default,inner_oof,8,1,20816599,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06137075372331182,0.041509174627173406,1.478486485807798,-0.3032984401745662,1.7301144100094779,0.0216183414551348,0.01756765536440752,0.048619284934780155,0.8391542105710502,0.8326011307167036,1.0,0.03719666704909726
deephit,default,inner_oof,11,1,20817610,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06202314491191133,0.041509174627173406,1.494203280816592,-0.3133630126145506,1.7826680935977253,0.023011568814177232,0.018554231983725744,0.05155777904462877,0.8411129028198996,0.8347098789012568,1.0,0.03716234963858242
deephit,default,inner_oof,9,1,20816936,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.05788831109734788,0.041509174627173406,1.3945907529428951,-0.24731350652400594,1.6835547655667877,0.01833948255178457,0.013760025417679511,0.04252024614313732,0.8428973308129118,0.8363843841763813,1.0,0.03690102355184706
deephit,default,inner_oof,5,1,20815588,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06066227734977904,0.041509174627173406,1.461418539265951,-0.3088161261762993,1.5379987714080738,0.0204099614286757,0.016919210119255013,0.04549087768325932,0.8379486058147281,0.8314965511013779,1.0,0.037248052063548275
nfg,default,temporal_test,7,1,20816262,10.0,"{""batch_size"": 256, ""dropout"": 0.1, ""layers"": [32, 32], ""layers_surv"": [32], ""lr"": 0.001, ""weight_decay"": 0.001}",0.04256812489270606,0.03296079030764276,1.2914776768212262,-0.399398149755579,0.799627018000235,0.009762639613085773,0.001040606524900456,0.03527259480097692,0.8284474514333888,0.8280008564142293,0.7793975774466717,0.031339505707832296
deephit,default,inner_oof,7,1,20816262,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.05718262035497006,0.041509174627173406,1.3775899152072335,-0.23045983451766142,1.641665862975339,0.01783932657771257,0.014605162803934535,0.04016351877475166,0.8402567762442207,0.8338065281358376,1.0,0.036877022829864284
nfg,default,temporal_test,2,1,20814577,10.0,"{""batch_size"": 256, ""dropout"": 0.1, ""layers"": [32, 32], ""layers_surv"": [32], ""lr"": 0.001, ""weight_decay"": 0.001}",0.04152981020790095,0.03296079030764276,1.2599761662350446,-0.32826665264157073,0.8136623388920419,0.008557433089115898,0.002161557953742843,0.02753472798848652,0.8260700619753544,0.8253970411364543,0.7793975774466717,0.031198482228207116
nfg,default,temporal_test,8,1,20816599,10.0,"{""batch_size"": 256, ""dropout"": 0.1, ""layers"": [32, 32], ""layers_surv"": [32], ""lr"": 0.001, ""weight_decay"": 0.001}",0.038226109162586855,0.03296079030764276,1.1597449213383455,-0.27622645434130144,0.796100709146178,0.006412038903676775,0.0008309550826237633,0.01900609122673072,0.8224733573080499,0.8222301406292318,0.7793975774466717,0.031087933104395324
deephit,tuned_brier,inner_oof,1,1,20814240,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.0444540719946681,0.041509174627173406,1.0709456980039989,-0.052313276612880995,1.1070891240053564,0.004060302063737135,0.0015998291922876863,0.010535846653335817,0.8427844389142055,0.8361479417304473,1.0,0.03628907666844435
