part,model,split,imp,rep,fold,secs,status,seed_used,mean_risk10,n_epochs
nfg__cvr2f2__imp7,nfg,cv,7,2,2,397.5,fitted,20268105,0.03434576550096301,199
deephit__cvr0f0__imp12,deephit,cv,12,0,0,72.6,fitted,20272903,0.04013381239336423,19
deephit__cvr2f2__imp11,deephit,cv,11,2,2,128.7,fitted,20272105,0.03542562579504161,30
nfg__cvr2f1__imp7,nfg,cv,7,2,1,406.3,fitted,20268104,0.03412554164072816,199
nfg__cvr0f2__imp6,nfg,cv,6,0,2,471.8,fitted,20266905,0.035400501695117804,199
nfg__cvr1f0__imp7,nfg,cv,7,1,0,427.4,fitted,20268003,0.03377811344005711,199
nfg__cvr1f2__imp7,nfg,cv,7,1,2,417.0,fitted,20268005,0.03620613300190306,199
nfg__cvr0f1__imp7,nfg,cv,7,0,1,441.1,fitted,20267904,0.037679143504120334,199
nfg__cvr0f4__imp7,nfg,cv,7,0,4,435.8,fitted,20267907,0.03590806733618155,199
deephit__cvr1f3__imp12,deephit,cv,12,1,3,72.9,fitted,20273006,0.039192543912527786,17
nfg__cvr1f1__imp7,nfg,cv,7,1,1,428.6,fitted,20268004,0.03556626880476247,199
deephit__cvr1f0__imp12,deephit,cv,12,1,0,78.5,fitted,20273003,0.04009323497217669,19
deephit__cvr0f2__imp12,deephit,cv,12,0,2,80.8,fitted,20272905,0.035979815337429874,18
nfg__cvr0f3__imp7,nfg,cv,7,0,3,444.7,fitted,20267906,0.03949770041589717,199
deephit__cvr1f1__imp12,deephit,cv,12,1,1,78.1,fitted,20273004,0.04055362749307324,18
