file,source_url,bytes_repo,bytes_fresh,sha256_repo,sha256_fresh,identical,http_status,retrieved_utc
SMQ_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/SMQ_E.XPT,2449520,2449520,881865ee05f4b2be0c03c761f00ad8e355f2cc5e7d3be41666edef6f3dca5862,881865ee05f4b2be0c03c761f00ad8e355f2cc5e7d3be41666edef6f3dca5862,true,200,2026-09-04T06:33:20Z
BIOPRO_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/BIOPRO_E.XPT,2053360,2053360,6c2cec1e790c09e0319bf5a576a2ab64861d4270679c8113663f83a6b7087ced,6c2cec1e790c09e0319bf5a576a2ab64861d4270679c8113663f83a6b7087ced,true,200,2026-09-04T06:33:21Z
ALB_CR_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/ALB_CR_E.XPT,326720,326720,6bf8018a465499043d5aeb89ac6d38ab4bc25a126ec663979bbbeffe0afdc2d8,6bf8018a465499043d5aeb89ac6d38ab4bc25a126ec663979bbbeffe0afdc2d8,true,200,2026-09-04T06:33:22Z
BPQ_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/BPQ_E.XPT,998480,998480,b802b5855d48fc230c734083ea1e4d4a9d84e1b36bf5e78fcd725c17d6ce77df,b802b5855d48fc230c734083ea1e4d4a9d84e1b36bf5e78fcd725c17d6ce77df,true,200,2026-09-04T06:33:23Z
RXQ_RX_2007-2008.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/RXQ_RX_E.XPT,3284320,3284320,599f0aa045355fce6819ce8b1bfd80991c92757d8c4d5d86946523391e933237,599f0aa045355fce6819ce8b1bfd80991c92757d8c4d5d86946523391e933237,true,200,2026-09-04T06:33:24Z
DEMO_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.XPT,3631600,3631600,78c4d4a6e5eafa9da3bbb24a90d140fef5d8c0cda932a7ff8ee609288d4fae07,78c4d4a6e5eafa9da3bbb24a90d140fef5d8c0cda932a7ff8ee609288d4fae07,true,200,2026-09-04T06:33:25Z
BPX_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPX_F.XPT,2219280,2219280,d09af545c732e5fb72c437e870823ec5d9efaed1ef3522210dcc1d8f47b9be57,d09af545c732e5fb72c437e870823ec5d9efaed1ef3522210dcc1d8f47b9be57,true,200,2026-09-04T06:33:25Z
BMX_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BMX_F.XPT,1890560,1890560,1fa42e07764037674c3f56e1e76f990e10c32245897597de3d731c57b91d869a,1fa42e07764037674c3f56e1e76f990e10c32245897597de3d731c57b91d869a,true,200,2026-09-04T06:33:26Z
TCHOL_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/TCHOL_F.XPT,207440,207440,87a237c6bcf8fe623db0ace18c5629bc6e8fddd98d4202a5a2d449958d13c4db,87a237c6bcf8fe623db0ace18c5629bc6e8fddd98d4202a5a2d449958d13c4db,true,200,2026-09-04T06:33:27Z
HDL_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/HDL_F.XPT,207440,207440,d813b41ddf57bfd791a354463b5d90e9276ed3c2464b7f68bef4d007719c7a50,d813b41ddf57bfd791a354463b5d90e9276ed3c2464b7f68bef4d007719c7a50,true,200,2026-09-04T06:33:28Z
GHB_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/GHB_F.XPT,118960,118960,98505d8aa707bd06b8b1d488d1ecdf13388bffea6ec1b89929726e7d2b32703b,98505d8aa707bd06b8b1d488d1ecdf13388bffea6ec1b89929726e7d2b32703b,true,200,2026-09-04T06:33:28Z
DIQ_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DIQ_F.XPT,1620960,1620960,7e90371cbc98e77a9684eff32ffa0e4ee3e8fc04d97581a8773e19cb9fe901fa,7e90371cbc98e77a9684eff32ffa0e4ee3e8fc04d97581a8773e19cb9fe901fa,true,200,2026-09-04T06:33:29Z
SMQ_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/SMQ_F.XPT,2580560,2580560,ee85c82ea55046eb7bf491088b5bb9efecbea8aaf66ae8c89123bad23a5f1901,ee85c82ea55046eb7bf491088b5bb9efecbea8aaf66ae8c89123bad23a5f1901,true,200,2026-09-04T06:33:30Z
BIOPRO_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BIOPRO_F.XPT,2187200,2187200,d138350f6a9318bb6a411b67f511e8eded677baa6ca8f4cad70dd86a0f0f428a,d138350f6a9318bb6a411b67f511e8eded677baa6ca8f4cad70dd86a0f0f428a,true,200,2026-09-04T06:33:31Z
ALB_CR_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/ALB_CR_F.XPT,758400,758400,f902e8892db69054e8898022dc1ced19770cc2fa613bf2655455f6a4f1cfbb67,f902e8892db69054e8898022dc1ced19770cc2fa613bf2655455f6a4f1cfbb67,true,200,2026-09-04T06:33:32Z
BPQ_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPQ_F.XPT,1161040,1161040,e592c987f07002eb309a63dc7ebf6a7eaa83d740a4fd6ae69af15da40c65a21a,e592c987f07002eb309a63dc7ebf6a7eaa83d740a4fd6ae69af15da40c65a21a,true,200,2026-09-04T06:33:33Z
RXQ_RX_2009-2010.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/RXQ_RX_F.XPT,3346560,3346560,d42785fb8055924330d46592ae84396d823a3fe25f1d3390da42489246c182d5,d42785fb8055924330d46592ae84396d823a3fe25f1d3390da42489246c182d5,true,200,2026-09-04T06:33:33Z
DEMO_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DEMO_G.XPT,3753760,3753760,eaf0525d1952626885af3e935415a1f66ad62c18698080e7354789c125af252d,eaf0525d1952626885af3e935415a1f66ad62c18698080e7354789c125af252d,true,200,2026-09-04T06:33:34Z
BPX_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BPX_G.XPT,2021600,2021600,1dd66110f41465d601cd54f1e3c6010baafb9375f09fbcaa3aef2536876146fd,1dd66110f41465d601cd54f1e3c6010baafb9375f09fbcaa3aef2536876146fd,true,200,2026-09-04T06:33:35Z
BMX_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BMX_G.XPT,1946720,1946720,4814bfc3047ed400b9d43d285f8c3ea7c940ac6489404a9b699579715d158ec3,4814bfc3047ed400b9d43d285f8c3ea7c940ac6489404a9b699579715d158ec3,true,200,2026-09-04T06:33:36Z
TCHOL_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/TCHOL_G.XPT,188960,188960,08682d7bcee71c1a5c5d977ebfe5f55eda43354a4ff76b07c3fbb487075e0731,08682d7bcee71c1a5c5d977ebfe5f55eda43354a4ff76b07c3fbb487075e0731,true,200,2026-09-04T06:33:37Z
HDL_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/HDL_G.XPT,188960,188960,ffc060d394cc487f3206462fdfc77648bdbdd6e279bfc5dd8e9cbba3ccdcac4f,ffc060d394cc487f3206462fdfc77648bdbdd6e279bfc5dd8e9cbba3ccdcac4f,true,200,2026-09-04T06:33:38Z
GHB_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/GHB_G.XPT,105840,105840,8ff7cc95461fdfd47d2c9640b944a2bcd45926a3c0e64c98a09a4cef6c0f88d7,8ff7cc95461fdfd47d2c9640b944a2bcd45926a3c0e64c98a09a4cef6c0f88d7,true,200,2026-09-04T06:33:38Z
DIQ_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DIQ_G.XPT,3978560,3978560,a9d5475e0cd66d6a7bc30230345ed0172a9abcbc0a7a4145a35025c827a52a87,a9d5475e0cd66d6a7bc30230345ed0172a9abcbc0a7a4145a35025c827a52a87,true,200,2026-09-04T06:33:39Z
SMQ_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/SMQ_G.XPT,1946960,1946960,69f2375f036a815082b1e97110e79c505b91e0985c61696f8eaacf94828115dc,69f2375f036a815082b1e97110e79c505b91e0985c61696f8eaacf94828115dc,true,200,2026-09-04T06:33:40Z
BIOPRO_2011-2012.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/BIOPRO_G.XPT,1997040,1997040,8c3a0b1bea79ff79c5600ad6a76c4206a7d689479f94ae81da6360058eda5d05,8c3a0b1bea79ff79c5600ad6a76c4206a7d689479f94ae81da6360058eda5d05,true,200,2026-09-04T06:33:41Z
